,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Date
4681116,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-08,-17.0,-1.0,1.0,-26.0,-11.0,7.0,2020-06-08
4681117,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-09,-13.0,2.0,7.0,-26.0,-12.0,8.0,2020-06-09
4681118,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-10,-14.0,2.0,-1.0,-26.0,-13.0,7.0,2020-06-10
4681119,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-11,-20.0,-6.0,-26.0,-28.0,-14.0,9.0,2020-06-11
4681120,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-12,-16.0,0.0,-10.0,-27.0,-15.0,9.0,2020-06-12
4681121,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-13,-18.0,-6.0,-40.0,-35.0,-19.0,9.0,2020-06-13
4681122,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-14,-16.0,-2.0,-30.0,-36.0,-13.0,6.0,2020-06-14
4681123,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-15,-12.0,3.0,-3.0,-23.0,-11.0,6.0,2020-06-15
4681124,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-16,-9.0,3.0,6.0,-23.0,-11.0,7.0,2020-06-16
4681125,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-17,-11.0,2.0,10.0,-23.0,-12.0,6.0,2020-06-17
4681126,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-18,-16.0,-4.0,-14.0,-25.0,-13.0,7.0,2020-06-18
4681127,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-19,-15.0,-5.0,-26.0,-26.0,-15.0,9.0,2020-06-19
4681128,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-20,-7.0,6.0,10.0,-21.0,-12.0,4.0,2020-06-20
4681129,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-21,-9.0,2.0,11.0,-24.0,-10.0,4.0,2020-06-21
4681130,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-22,-16.0,-5.0,-14.0,-22.0,-11.0,7.0,2020-06-22
4681131,JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2020-06-23,-8.0,3.0,6.0,-20.0,-11.0,6.0,2020-06-23
